date_trans,price_trans,appr,xx,yy,id_zip,age,area,sfla,id_market
9/17/2002,316520,267200,858427.7851,960079.8397,63129,0,0.497317253,2530,South
8/31/2004,91000,73100,897474.8703,1059790.396,63137,49,0.201989346,975,North
4/3/2006,126626,94000,847404.7496,1070436.061,63042,1,0.033778601,1114,West70
7/11/2007,89000,93700,875052.3462,1073740.334,63033,51,0.193998488,1107,North
9/29/2003,288547,56200,825544.2978,979369.8164,63026,0,0.071507645,1785,Southwest
2/20/2007,228000,274300,815783.7096,1008628.417,63011,35,0.274265543,2528,Northwest
5/4/2007,233500,213200,780764.4493,1002688.363,63011,11,0.215874096,1370,Northwest
6/8/2006,570000,399500,782233.6536,1023001.102,63005,15,0.595906875,2851,Northwest
7/25/2006,185000,149400,830485.4208,1052939.62,63043,29,0.225834072,1397,West70
7/13/2004,160000,136300,811463.9323,997350.7754,63021,29,0.228401656,1491,Southwest
2/3/2003,473664,387610,845494.9217,1004854.518,63122,1,0.343541185,3255,South
4/16/2003,290000,222200,814347.9829,1032429.441,63017,33,0.495989853,2174,Northwest
7/12/2002,95000,70410,869226.0727,1087364.28,63031,38,0.172078984,1116,North
5/15/2008,420000,92500,823572.7308,972929.1151,63026,1,0.200881989,3500,Southwest
4/17/2007,120000,100700,873985.0877,1072001.07,63033,52,0.164095917,864,North
2/5/2007,185436,173600,870336.6556,991393.2129,63123,67,0.176248471,1548,South
5/21/2004,140000,90500,840180.3854,1055213.829,63043,40,0.170162409,1232,West70
1/19/2006,147000,116700,849312.8433,1053607.666,63074,11,0.137785098,1313,East70
6/28/2007,110000,92900,877618.5126,992654.7149,63123,99,0.147288167,999,South
6/17/2010,2000000,1789200,818612.1253,1016132.228,63011,5,1.397938484,8691,Northwest
12/6/2001,177500,162570,779927.6072,999174.6894,63040,6,0.192572595,2000,Northwest
3/21/2006,124900,100600,869911.0281,1084329.609,63031,44,0.16503216,1476,North
4/20/2010,285000,270800,849783.7308,961435.1545,63128,6,0.212608013,1942,South
7/25/2008,207500,184900,859849.078,977603.7822,63128,55,0.401199618,1224,South
3/26/2010,135500,124600,869634.1591,1017549.039,63117,101,0.160697835,858,Central
12/20/2004,195900,169100,817919.4418,988413.1807,63088,9,0.133098727,1603,Southwest
10/1/2002,1350000,1171180,852335.5268,1016809.842,63124,40,3.07672368,4717,Central
